
# Run: Patrons=80, Scheduler=FCFS, Quantum=N/A, Switch=3, Seed=101
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
14,6282,7434,8134
60,71,5182,5989
7,179,8153,8819
15,81,8096,8473
79,3781,4669,5530
42,56,7290,7847
50,75,7472,8026
61,7045,7215,7753
49,67,7948,8401
5,106,9956,10672
28,36,9051,9705
54,7945,8059,8763
8,9158,10389,11189
51,54,8371,9169
67,4636,8136,8693
13,10911,11082,11581
35,38,9842,10672
46,9511,9490,10315
66,8809,9045,9776
75,8896,9350,9888
11,12260,12327,13185
32,63,11543,12282
17,87,12360,13279
57,68,10623,11449
19,11595,12992,13834
44,12122,12221,12688
16,13076,13500,14266
1,72,14409,15301
38,5159,12852,13622
20,6167,13774,14596
62,7972,11795,12641
68,128,11837,12473
18,254,14556,15149
25,255,14240,14966
33,37,14546,15081
53,60,13385,14164
6,99,16210,16966
29,4500,14982,15878
41,33,14786,15481
24,65,15640,16536
72,140,14149,14972
0,66,17875,18623
78,82,14618,15271
47,55,16062,17112
74,14743,15155,16028
69,122,15947,16505
21,40,18548,19257
37,160,17722,18485
55,96,17578,18269
23,19290,19648,20271
34,60,19192,19923
2,46,21373,22073
40,1404,19642,20386
58,46,18902,19657
56,75,19318,20165
48,257,20105,20881
22,5107,22082,22896
59,6866,20191,21098
4,1019,23296,24188
64,21031,20880,21661

# Run: Patrons=80, Scheduler=RR, Quantum=75, Switch=3, Seed=103
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
1,56,3797,4143
2,30,8203,8611
4,187,7992,8667
6,396,10524,11336
7,391,10877,11545
8,369,11384,12100
3,171,11814,12506
10,461,12036,12774
15,748,13875,14627
19,938,14640,14991
18,885,14569,15143
9,400,15499,16352
11,1765,16086,16651
24,1246,15532,16025
0,66,16859,17397
25,1225,15515,16372
27,1327,15681,16307
26,1254,15700,16379
5,324,17099,17659
13,576,16544,17351
28,1381,16088,16728
30,1508,16361,16981
33,1710,16530,17190
17,831,17640,18459
34,1734,16744,17667
36,1815,16748,17641
37,1863,17164,17739
39,1883,17223,17879
20,2956,18250,18854
42,1996,17211,17948
45,2183,17389,17887
44,2096,17324,17977
48,2266,17389,17912
23,1189,18583,19192
49,2404,17366,18053
50,2462,17388,18135
56,2639,17201,17906
57,2658,17383,17914
53,2629,17385,18188
14,724,19753,20201
29,1399,18777,19491
16,722,19766,20174
60,2880,17346,18085
59,2901,17415,18144
61,2963,17514,18174
62,3006,17546,18247
64,3095,17592,18279
32,1612,19166,19938
67,3225,17614,18276
70,3340,17734,18325
69,3311,17696,18467
73,3514,17867,18283
71,3448,17750,18406
76,3860,17746,18442
22,1185,21027,21461
21,1098,20817,21564
12,1767,21497,22063
51,2510,19692,20262
52,2539,19606,20240
54,2608,19491,20160
58,2770,19458,20112
